Team,Sprint Set,Quarter,Date,Week #,Day 1 Close Target End Date,Close Category,Day 1 Close Theme,OKR,Key Result,Week Focus and Tasks,End of Week Deliverable / Milestone,Hours Saved,Owner(s),Dependencies,Status,Notes,Link
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",Oct close readiness,"- BD 3 Cash cutoff
- continue discovery for Matching tool",8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,FNT TP tool modifications,All entities use TP tool for Oct close,2,Charles Sikazwe,FNT support,In-Progress,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Status check in with team, every Thursday",1. Developers have started on the integration and are on track for a 11/14 completion date,2,Selena Ochoa,Timely delivery and correspondence from developer,In-Progress,"Update as of 10/30:

Developer is 80% done with automation. The team met today and there are some edits that need to occur: 1) Developer needs to edit code for JE to be posted on JE file DATE not when the job is ran. 2) Spacebase needs to edit JE file because Drs and Crs do not match, off by .01. 

Next Steps:
1. Developer to work on posting date edits (expected completion 11/5)
2. Selena has reached out the Christian (SB Eng) to help with the JE differences
3. Selena has reached out to Christian (SB Eng) to grant developer SFTP credentials and any IPWhitelisted addresses to connect to SB platform for JE automation",
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,"[close week]
Focus: Constant monitoring of coding errors and correcting the root issue (PO or cash coding incorrect)
Tasks:
1. Clear all monitors in Numeric CCR mointor for the week
2. Create reclass entries as needed and post","[close week]
- Zero alerts by EOW",1,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,"[close week]
Focus: Constant monitoring of coding errors and correcting the root issue (PO or cash coding incorrect)
Tasks:
1. Clear all monitors in Numeric CCR mointor for the week
2. Create reclass entries as needed and post","[close week]
- Zero alerts by EOW",1,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,"
KR 8:  Prepare for November close with Guideline data ",Final review of checklist and preparers/reviewers of GE tasks,Be able to go live with transactions by 11/30,,Rachele/Charles,FNT/GE team ,Complete,Florence to Review clean checklist by 10/24 and then can upload into Numeric,
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","- Complete set up of accruals.ai and prepare process instructions for October close
- Inform teams who recieve deliverable requests from us of new method in accruals.ai
- Clean up Numeric tasks to accomodate new items from accruals.ai",0,Justine O'Sullivan,,Complete,,
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"Continuation from prior week given the setback from Lex's departure, reprioritization from Lex's team, Johns OOO and developers Diwali Holiday.

1. Resolve WD > Xactly ee data errors
2. Retest WD + NS > Xactly integration output","1. Automation edits/corrections done
2. Accounting has retested the integration",1,Selena Ochoa,"Sales comp team bandwidth to test integration is working

John responsiveness to changes if needed",In-Progress,"Update as of 10/30:

Theresa has tested the job and she encountered some errors — these were communicated to John for editing. John is suppose to resolve issues today and handoff to Theresa for Round 2 of testing. 

Selena needs additional context on how the integration is working on the backend/its achitecture. ",
Corporate Accounting,Set 1,Q2'26,10/27/2025,6,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",[TBD],[TBD],3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 3: AI flux bot enhancements,"[close week]
Focus: Utilize AI bots in flux analysis within Numeric to reduce manual time spent fluxes. Leverage memos in transaction level detail to optimize the AI.
Tasks:
1. Flux Accruals Review report fully by vendor, using the vendor level template, then flux the account grouping
2. Monitor time spent completing task 1
3. Flux account level MoM reports by pulling in accounts from the accruals review report
4. Monitor time spent completing task 3","[close week]
- Aileen to optimize the AI bot during October close and report back on time saved preparing
- Justing to review fluxes and monitor how many are sent back
- Review time savings during 1:1 meeting",2,Justine O'Sullivan,,Complete,Time savings of around 1 hour,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 3: AI flux bot enhancements,"[Thanksgiving break] Aileen to do
Focus: Prepare for November close by writing out concrete game plan for leverage the bot more
Tasks:
1. Create a working doc to outline specific game plan for November close fluxing
2. Create goal time savings in doc
3. Refine templates that we are planning on using","[Thanksgiving break] Aileen to do
- Full gameplan working doc created complete with time savings goals
- Templates refined and tested in Numeric",2,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Status check in with team, every Thursday
2. Complete JE automation build in Sandbox",1. JE testing performed,2,Selena Ochoa,Timely delivery and correspondence from developer,In-Progress,"As of 11/7/25:

Developer still needs to edit the JE date logic. API key has been shared with Spacebase. Next steps are to fix the JE date issue and developer to advise on what else is needed to make the connection. ",
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"Continuation from prior week given the setback from Lex's departure, reprioritization from Lex's team, Johns OOO and developers Diwali Holiday. 

1. Resolve WD > Xactly ee data errors
2. Retest WD + NS > Xactly integration output","1. Automation edits/corrections done
2. Accounting has retested the integration",1,Selena Ochoa,"Sales comp team bandwidth to test integration is working

John responsiveness to changes if needed",In-Progress,"As of 11/4/25: 

Isik has been out sick this week which has delayed our progress on getting John updated NS Saved Searches for the integration. It is unknown when she will be back. 

As of 11/6/25:
Isik is back and she has provided John with the NS Saved Searches (Internal ID) needed to progress the integration. Per John, he is traveling Wed through the end of the week. A follow up will be conducted early next week. If you have specific questions, please slack me. ",
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Add Guideline leases into Spacebase,1. Deliver all Guideline leases to Spacebase team for creation of leases in Spacebase,5+,Selena Ochoa,Spacebase bandwidth/responsiveness,Complete,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,1/31/2025,Payroll,Automate all domestic payroll reconciliations,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 9: Automate Symmetry payroll reclass from Gusto Inc > Symmetry,1. Draft a Business Requirements doc for FinTech so they know the level of effort this automation requires,1. Send FinTech Business Requirements Template,2,Selena Ochoa,Project dependent on FinTechs availability,Complete,Expecting a 2 hour saving from the automation,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 6: Automate US payroll reconciliations,"Understanding & Data Mapping

1. Break out all payroll codes (earnings, deductions, benefits) and tie to GL mapping
2. Apply a description to all earnings, deductions & benefits codes
3. Determine if coding is correct, needs review, need further understanding of earning/deduction","1. First draft of 'Payroll Master Matrix' (Validate mapping between payroll codes and GL account)
2. Tag Head of Payroll re: #3
3. Tag FBOS to confirm #3
",n/a,Selena Ochoa,"Head of Payroll responsiveness on clarifying items

FBOS responsiveness on approval of coding changes if any

Accounting bandwidth given qtr end close deadlines",In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,9/30/2026,Fixed Assets,Automate fixed assets end-to-end process,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 8: Automate fixed assets end-to-end process,"NetSuite Capabilities Exploration

1. Document capabilities
2. Document FinTech Business Requirements","1. Capability matrix of NetSuite/FAM functions
2. Send FinTech automation requirements",,Selena Ochoa,Accounting bandwidth given qtr end close deadlines,In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Integrate Guideline PPE to Gusto,1. Inquire w. Will Ott re: re-valuation of Guideline's PPE,2,Selena Ochoa,,Complete,,
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Status check in with team, every Thursday
2. Complete JE automation build in Sandbox",1. JE testing performed,2,Selena Ochoa,Timely delivery and correspondence from developer,At-Risk/Missed,"Update as of 11/14:

Developer is having issues making connection with Spacebase for integration. Additionally, some edits to integration are still necessary. I'm pushing for end of next week as a hard deadline. ",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,1. Automation needs to be working in Sandbox,1. Automation has been re-tested and it is working correctly in Sandbox,1,Selena Ochoa,"Sales comp team bandwidth to test integration is working

John responsiveness to changes if needed",In-Progress,"Update as of 11/14:

John has been able to make the connection between NS and Xactly. We are waiting for him to resend for testing. ",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,"1. Check in with Environment regarding validation of GE leases in Spacebase.  (due 11/15)
2. Task minerva.suarez@gustocare.com with merging GE lease schedules with Gusto Inc. (due 11/25)
3. Connect w. Will Ott re: IBR ","1. Keep the Environment team on track
2. Keep minerva.suarez@gustocare.com on track
3. Update IBR rates for GE leases in Spacebase",n/a,Selena Ochoa,"Environment teams responsiveness

minerva.suarez@gustocare.com bandwidth",In-Progress,"Update as of 11/14:

Will had a conflict this week, meeting Monday to discuss IBR for GE",
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,Buffer Week: Continuation from last week,Buffer Week: Continuation from last week,n/a,Selena Ochoa,"Environment teams responsiveness

minerva.suarez@gustocare.com bandwidth",In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Draft Procedures/Control Documentation

1a. Establish workflow controls/edit user access
1b. Implement segregation of duties amongst users
1c. Decide who will create leases, review and approve

2. Test finance JEs
3. Establish SB connection","1. User settings and workflow established for appropriate controls
2. Documentation updated
3. Establish Spacebase connection",2,Selena Ochoa,"Corp Acct agreement on who should prepare, review and approve leases",In-Progress,"Schedule WT with Rachele Russo KC Deatsch

Update as of 11/18:
Developer continues to be unresponsive/not understand requirements for finance leases journal entries. Continue to encounter errors. Feedback has been provided. 

Developer experiencing issues connecting to Spacebase. Working on escalating this to a live working session with Spacebase to resolve. ",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 9: Automate Symmetry payroll reclass from Gusto Inc > Symmetry,1. Discuss w. FinTech is this project is doable given bandwith,1. Initial call with FinTech to decide if project can be taken on ,2,Selena Ochoa,Project dependent on FinTechs availability,Complete,"Update as of 11/14:

Met w. Ravi this week, he understands project requirements. We will discuss timeline/resources next week. ",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 6: Automate US payroll reconciliations,"Continuation from last week plus:

1. Connect w. Benefits team to understand their process for 401k, HSA, FSA contributions. Critical to understanding reconciliation process.",Continuation from last week,n/a,Selena Ochoa,"Head of Payroll responsiveness on clarifying items

FBOS responsiveness on approval of coding changes if any

Benefits team resonsiveness/availability

Accounting bandwidth given qtr end close deadlines",At-Risk/Missed,"Update as of 11/14:

Progress/milestone was missed due to qtr end priorities, OOO. Will pick up next week/adjust sprint accordingly.

Connecting live with Benefits team next week to start documenting process. 

Met w. Ravi to discuss this project as well, we will circle back next week on who will own this 'build' and best approach. He wante to understand requirements and check back in with Rahul on approach. ",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,9/30/2026,Fixed Assets,Automate fixed assets end-to-end process,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 8: Automate fixed assets end-to-end process,Continuation from last week,Continuation from last week,,Selena Ochoa,Accounting bandwidth given qtr end close deadlines,At-Risk/Missed,"Update as of 11/14:

Progress/milestone was missed due to qtr end priorities, OOO. Will pick up next week/adjust sprint accordingly.

Meeting with Noah Sullivans from IT Monday to start documenting process/understand what if any OKRs IT Team has around asset tracking. ",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Integrate Guideline PPE to Gusto,1. Task minerva.suarez@gustocare.com with creating CSV upload of GE assets,2,Selena Ochoa,,In-Progress,"Update as of 11/14:

Will had a conflict this week, meeting Monday to discuss an PPE revaluations",
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2025,Payroll,Automate all domestic payroll reconciliations,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 9: Automate Symmetry payroll reclass from Gusto Inc > Symmetry,1. Check in with Ravi re: availability/discussion with Rahul for team to take this on. ,"1. Decision on whether this is something FinTech can take on. If so, when?",2,Selena Ochoa,Project dependent on FinTechs availability,In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 6: Automate US payroll reconciliations,"Automation Research & Design

1. Evaluate automation options (Cursor, Bolt, Other)
2. Define data inputs, required outputs, and reconciliation requirements","1. Jade Global requirements meeting to begin POC on automation
2. Finalize Payroll Master Matrix to confirm correct GL coding",n/a,Selena Ochoa,,In-Progress,"Update as of 11/17: 

Benefits process narrative

US Payroll Req Business Requirements

Ample was tasked with prepping the Payroll Master Matrix file, due 11/25. Selena to review thereafter.",
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,9/30/2026,Fixed Assets,Automate fixed assets end-to-end process,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 8: Automate fixed assets end-to-end process,"Understanding IT Tracking Process

1. Connect live w. IT to understand process
2. Document process",1. Documented process narrative of current IT PPE tracking process.,,Selena Ochoa,,In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Prepare Guideline PPE new asset listing for month end,"1. Understand GE asset process
2. Finalize new asset listing for GE for NS upload",2,Selena Ochoa,,In-Progress,"Update as of 11/18:

GE asset listing to be prepped by EOW. Holding off on creation of any new GE assets untill we get confirmation from TA + CA opening balances are final and PPE matches that. ",
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,"1. Create accounting lease schedules in EXCEL and Spacebase, if possible given commencement date
2. Update IBR rates
3. Submit leases for Approval","1. GE accounting lease schedules are updated and pending approval
2. minerva.suarez@gustocare.com done with updated lease workpaper",2,Selena Ochoa,"Assuming we have IBR by then

Assuming I am able to edit the commencement date of the lease to be 11/1/25 in SB for amort. start date. 

minerva.suarez@gustocare.com out of office all week",Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2025,Payroll,Automate all domestic payroll reconciliations,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 9: Automate Symmetry payroll reclass from Gusto Inc > Symmetry,TBD based on week 2,TBD based on week 2,2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 6: Automate US payroll reconciliations,"Automation Research & Design

1. Send Payroll Matrix to FBOS for any edits needed
2. Try to reconcile FSA, HSA, 401k accounts (Need Colins expertise here)",,4+,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,9/30/2026,Fixed Assets,Automate fixed assets end-to-end process,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 8: Automate fixed assets end-to-end process,Design Future State Workflow,,,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Integrate Guideline PPE to Gusto,1. Create GE assets in FAM,2,Selena Ochoa,Out of office dependencies given holiday,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,"1. GE accouning leases approved
2. Ensure new leases are included in Custom JE Reporting
3. Ensure amortization schedules are correct and JE's are correct",1. GE accounting leases approved,2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2025,Payroll,Automate all domestic payroll reconciliations,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 9: Automate Symmetry payroll reclass from Gusto Inc > Symmetry,TBD based on week 2,TBD based on week 2,2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 6: Automate US payroll reconciliations,"Build & Prototype

1. Partner with FinTech or internal automation resources to build prototype.
2. Test logic for one payroll cycle (e.g., US biweekly run).
3. Validate output against manual reconciliation",1. Working prototype with accuracy within acceptable threshold,4+,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,9/30/2026,Fixed Assets,Automate fixed assets end-to-end process,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 8: Automate fixed assets end-to-end process,Continuation from last week,Continuation from last week,,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Integrate Guideline PPE to Gusto,1. GE PPE fully incorporated to Gusto Inc for Nov close,2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,9/30/2026,Fixed Assets,Automate fixed assets end-to-end process,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 8: Automate fixed assets end-to-end process,Feasibility Validation & Stakeholder Review,,,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,1/31/2025,Payroll,Automate all domestic payroll reconciliations,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 9: Automate Symmetry payroll reclass from Gusto Inc > Symmetry,TBD based on week 2,TBD based on week 2,2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,9/30/2026,Payroll,Automate all domestic payroll reconciliations,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 6: Automate US payroll reconciliations,Continuation from last week,Continuation from last week,4+,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. Integrate Guideline PPE to Gusto,1. Wrap up any loose ends,2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",Invoicing,Touchbase with FH on GDL I/C invoicing and related set up (distributions) to aide scoping for Gusto implementation,3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,"Progress: FH Shared documentation that can be leveraged to set up I/C disttibution templates in Gusto NS instance

[NetSuite] Distribution Template - Create IC Line Dist. Template.docx
","Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2","- Numeric treasury testing
- continue Direct FCF prep automation",#NAME?,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2026,Prepaids,Fully automate prepaid accounting,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 8: Automate the prepaid usage process via proprietary programming,"Focus: Continue working on prepaid usage in bolt.new
Tasks:
1. Finalize Minami Tamaki vendor calculation start to end
2. Finalize Urbanbound vendor calculation start to end
3. Research and understand ""publishing"" a bolt.new program and what that would look like in terms of hosting this page long term for multiple people to use.
4. Ask Financetech about licensing","- Finalize setup for 2 complex vendors in testing
- Understand what it would take to launch the tool on a webpage that multiple people can use at the same time
- Get answer from FinanceTech on licenses for continuing to build",3,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",FNT touchbase based on FH walkthrough,Project plan for I/C invoicing implementation,3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2026,Prepaids,Fully automate prepaid accounting,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 8: Automate the prepaid usage process via proprietary programming,"[close week]
Focus: Continue working on prepaid usage in bolt.new
Tasks:
1. Finalize Bugcrowd vendor calculation start to end
2. Finalize Impact vendor calculation start to end",- Finalize setup for 2 complex vendors in testing,3,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,N/A - out of office for the whole week,<<<<,2,Charles Sikazwe,FNT support,In-Progress,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,"[close week]
Focus: Constant monitoring of coding errors and correcting the root issue (PO or cash coding incorrect)
Tasks:
1. Clear all monitors in Numeric CCR mointor for the week
2. Create reclass entries as needed and post","[close week]
- Zero alerts by EOW",1,Justine O'Sullivan,,Complete,,
Corporate Accounting,Set 2,Q3'26,12/6/2025,6,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 3: AI flux bot enhancements,"[close week]
Focus: Utilize AI bots in flux analysis within Numeric to reduce manual time spent fluxes. Leverage memos in transaction level detail to optimize the AI.
Tasks:
1. Flux Accruals Review report fully by vendor, using the vendor level template, then flux the account grouping
2. Monitor time spent completing task 1
3. Flux account level MoM reports by pulling in accounts from the accruals review report
4. Monitor time spent completing task 3","[close week]
- Aileen to optimize the AI bot during November close and report back on time saved preparing
- Justing to review fluxes and monitor how many are sent back
- Review time savings during 1:1 meeting",2,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 1,Q3'26,10/6/2025,3,9/30/2026,Leases,Automate lease journal entries into NS,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Regroup with Spacebase team, discuss last week action items, align on next steps
2. Align with FNT if this will be a push through process or an auto run on specific dates/times?","1. Custom JE report + entries created correctly
2. Set up automation cadence/approach",2,Selena Ochoa,,In-Progress,"As of 10/10 - Custom JE report completed and One Penn and 1515 Arapahoe added in SB.

Potential Blocker: FinTech wanted to know if there was an Out-Of-Box Connector Spacebase offered (this would be a quick and easy lift for the team), upon asking SB, they do not. That being said, FinTech needs to go back to Rahul and see if we can then get a developer allocated to this project since it won't be a simple connection. Selena is waiting to hear from Isik on this. Followed up on 10/10.",
